Process Model,LLM Model,Text Type,Prompt,FKGL,FRE,#S,#W,#MR,TS-NC,TS-C,Conflict?,Score,Instruction Following,Correctness,Writing Quality,Source File
Proofread,gpt-4o-mini,LLM-Generated Original,3,8.380476879,60.65641859,12,174,0,0.3627228308,0.9218561785,1,0.75412,3.0,1.0,4.0,data/llm_m2t_output/Proofread_gpt-4o-mini_prompt3.txt
Proofread,llama3.1:8b,LLM-Generated Self-Corrected,1,7.466931254,67.61642807,30,231,0,0.451792563,0.9027050708,1,0.76743,3.0,4.0,3.0,data/llm_m2t_output/Proofread_llama3.1-8b_prompt1_conflict_fix.txt
Proofread,llama3.1:8b,LLM-Generated Original,1,6.087216015,69.13245034,29,170,0,0.4845915978,0.8593662815,1,0.74693,3.0,4.0,3.0,data/llm_m2t_output/Proofread_llama3.1-8b_prompt1.txt
Proofread,llama3.1:8b,LLM-Generated Self-Corrected,2,9.41426087,60.33943478,10,184,0,0.4353317523,0.9361826465,0,0.78593,1.0,4.0,2.0,data/llm_m2t_output/Proofread_llama3.1-8b_prompt2_conflict_fix.txt
Proofread,llama3.1:8b,LLM-Generated Original,2,8.238949275,66.71755435,8,139,0,0.500994156,0.9730595282,1,0.83144,1.0,4.0,1.0,data/llm_m2t_output/Proofread_llama3.1-8b_prompt2.txt
Proofread,llama3.1:8b,LLM-Generated Original,3,9.107758621,55.59060345,10,146,0,0.3404952227,0.9432992822,0,0.76246,3.0,1.0,3.0,data/llm_m2t_output/Proofread_llama3.1-8b_prompt3.txt
Repair Ticket,gpt-4o-mini,LLM-Generated Self-Corrected,1,8.259764012,58.20704031,19,219,0,0.8478474348,0.9416057446,1,0.91348,3.0,4.0,3.0,data/llm_m2t_output/Repair_Ticket_gpt-4o-mini_prompt1_conflict_fix.txt
Repair Ticket,gpt-4o-mini,LLM-Generated Original,1,8.259764012,58.20704031,19,219,0,0.8478474348,0.9416121299,1,0.91348,3.0,3.0,3.0,data/llm_m2t_output/Repair_Ticket_gpt-4o-mini_prompt1.txt
Repair Ticket,gpt-4o-mini,LLM-Generated Self-Corrected,2,8.316846934,55.8708619,19,218,0,0.7798178674,0.9815305689,1,0.92102,1.0,5.0,1.0,data/llm_m2t_output/Repair_Ticket_gpt-4o-mini_prompt2_conflict_fix.txt
Repair Ticket,gpt-4o-mini,LLM-Generated Original,2,8.1784689,56.0192823,19,209,0,0.7945982799,0.9816307259,1,0.92552,1.0,5.0,1.0,data/llm_m2t_output/Repair_Ticket_gpt-4o-mini_prompt2.txt
Repair Ticket,gpt-4o-mini,LLM-Generated Self-Corrected,3,8.56,55.065,20,240,0,0.7838784408,0.9784813714,1,0.9201,1.0,3.0,1.0,data/llm_m2t_output/Repair_Ticket_gpt-4o-mini_prompt3_conflict_fix.txt
Repair Ticket,gpt-4o-mini,LLM-Generated Original,3,7.953,57.992,20,224,0,0.7647617504,0.9779339491,1,0.91398,1.0,3.0,1.0,data/llm_m2t_output/Repair_Ticket_gpt-4o-mini_prompt3.txt
Repair Ticket,llama3.1:8b,LLM-Generated Self-Corrected,1,8.077290715,61.23041603,42,330,0,0.5767665061,0.9326610307,1,0.82589,3.0,5.0,3.0,data/llm_m2t_output/Repair_Ticket_llama3.1-8b_prompt1_conflict_fix.txt
Repair Ticket,llama3.1:8b,LLM-Generated Original,1,7.616632109,63.94352636,28,198,0,0.7559017961,0.9208822023,1,0.87139,3.0,5.0,3.0,data/llm_m2t_output/Repair_Ticket_llama3.1-8b_prompt1.txt
Repair Ticket,llama3.1:8b,LLM-Generated Original,2,10.38604271,50.13658501,12,200,0,0.7776088649,0.9718416769,0,0.91357,2.0,5.0,2.0,data/llm_m2t_output/Repair_Ticket_llama3.1-8b_prompt2.txt
Repair Ticket,llama3.1:8b,LLM-Generated Self-Corrected,3,9.768969709,57.70342572,24,400,0,0.4760820908,0.9070805276,1,0.77778,3.0,3.0,5.0,data/llm_m2t_output/Repair_Ticket_llama3.1-8b_prompt3_conflict_fix.txt
Repair Ticket,llama3.1:8b,LLM-Generated Original,3,9.727709036,57.63417323,21,364,0,0.5469760939,0.9239712723,1,0.81087,3.0,3.0,5.0,data/llm_m2t_output/Repair_Ticket_llama3.1-8b_prompt3.txt
Restaurant,gpt-4o-mini,LLM-Generated Original,1,9.133772455,52.4584293,21,161,0,0.7633645389,0.9103778233,0,0.86627,3.0,2.0,3.0,data/llm_m2t_output/Restaurant_gpt-4o-mini_prompt1.txt
Restaurant,gpt-4o-mini,LLM-Generated Original,2,9.993214286,48.35178571,8,114,0,0.7309105709,0.9791360422,0,0.90467,1.0,1.0,1.0,data/llm_m2t_output/Restaurant_gpt-4o-mini_prompt2.txt
Restaurant,gpt-4o-mini,LLM-Generated Original,3,9.367818182,48.79839394,15,181,0,0.6911468023,0.9692084434,0,0.88579,3.0,1.0,4.0,data/llm_m2t_output/Restaurant_gpt-4o-mini_prompt3.txt
Restaurant,llama3.1:8b,LLM-Generated Original,1,8.230465116,59.61972272,22,166,0,0.6302065699,0.8687545643,0,0.79719,3.0,3.0,3.0,data/llm_m2t_output/Restaurant_llama3.1-8b_prompt1.txt
Restaurant,llama3.1:8b,LLM-Generated Self-Corrected,2,11.89589147,43.81396641,9,172,0,0.5081707055,0.9165215681,1,0.79402,1.0,4.0,1.0,data/llm_m2t_output/Restaurant_llama3.1-8b_prompt2_conflict_fix.txt
Restaurant,llama3.1:8b,LLM-Generated Original,2,10.43982877,52.71946918,4,76,0,0.7735986872,0.9797564467,1,0.91791,1.0,5.0,1.0,data/llm_m2t_output/Restaurant_llama3.1-8b_prompt2.txt
Restaurant,llama3.1:8b,LLM-Generated Self-Corrected,3,10.82956693,55.12012467,13,255,0,0.5986163271,0.901516757,1,0.81065,3.0,2.0,3.0,data/llm_m2t_output/Restaurant_llama3.1-8b_prompt3_conflict_fix.txt
Restaurant,llama3.1:8b,LLM-Generated Original,3,12.58375,52.33958333,6,165,0,0.6823282217,0.9538840244,1,0.87242,3.0,2.0,3.0,data/llm_m2t_output/Restaurant_llama3.1-8b_prompt3.txt
Test,gpt-4o-mini,LLM-Generated Original,1,4.646212766,78.494,8,44,0,0.4663476406,0.907578993,0,0.77521,3.0,1.0,3.0,data/llm_m2t_output/Test_gpt-4o-mini_prompt1.txt
Test,gpt-4o-mini,LLM-Generated Original,2,9.01452381,49.13464286,4,42,0,0.2959059604,0.9239384712,0,0.73553,3.0,1.0,3.0,data/llm_m2t_output/Test_gpt-4o-mini_prompt2.txt
Test,gpt-4o-mini,LLM-Generated Original,3,8.756666667,53.655,4,48,0,0.1836097929,0.9338484763,0,0.70878,3.0,1.0,3.0,data/llm_m2t_output/Test_gpt-4o-mini_prompt3.txt
Test,llama3.1:8b,LLM-Generated Original,1,10.47141026,54.71942308,4,79,0,0.222057139,0.884586814,0,0.68583,3.0,1.0,3.0,data/llm_m2t_output/Test_llama3.1-8b_prompt1.txt
Test,llama3.1:8b,LLM-Generated Self-Corrected,2,8.010364146,61.18251167,9,116,0,0.4291249819,0.8844922263,0,0.74788,1.0,1.0,3.0,data/llm_m2t_output/Test_llama3.1-8b_prompt2_conflict_fix.txt
Test,llama3.1:8b,LLM-Generated Original,2,9.087058824,60.19176471,2,34,0,0.424182533,0.9344537584,1,0.78137,1.0,1.0,1.0,data/llm_m2t_output/Test_llama3.1-8b_prompt2.txt
Test,llama3.1:8b,LLM-Generated Self-Corrected,3,7.156481481,67.79916667,6,79,0,0.4117351646,0.864635033,1,0.72877,3.0,1.0,4.0,data/llm_m2t_output/Test_llama3.1-8b_prompt3_conflict_fix.txt
Test,llama3.1:8b,LLM-Generated Original,3,5.031384615,77.51361538,5,52,0,0.3165952786,0.862399558,1,0.69866,3.0,1.0,4.0,data/llm_m2t_output/Test_llama3.1-8b_prompt3.txt
1_2,gpt-4o-mini,Traditional,0,6.368713661,75.36877636,19,265,1,0.1612750802,0.8203261838,1,0.62261,,,,data/traditional_m2t_output/1_2.df-po-extended.txt
1_2,llama3.1:8b,Traditional,0,6.368713661,75.36877636,19,265,1,0.1612750802,0.8202892971,1,0.62259,,,,data/traditional_m2t_output/1_2.df-po-extended.txt
1_3,gpt-4o-mini,Traditional,0,7.041666667,73.7677354,18,283,0,0.2820095095,0.8110998222,1,0.65237,,,,data/traditional_m2t_output/1_3.df-po-extended.txt
1_3,llama3.1:8b,Traditional,0,7.041666667,73.7677354,18,283,0,0.2820095095,0.8110998222,1,0.65237,,,,data/traditional_m2t_output/1_3.df-po-extended.txt
10_1,gpt-4o-mini,Traditional,0,6.442857143,75.58714286,7,100,0,0.3277146549,0.8518756246,1,0.69463,,,,data/traditional_m2t_output/10_1.df-po-extended.txt
10_1,llama3.1:8b,Traditional,0,6.442857143,75.58714286,7,100,0,0.3277146549,0.8518893848,1,0.69464,,,,data/traditional_m2t_output/10_1.df-po-extended.txt
10_13,gpt-4o-mini,Traditional,0,6.773333333,76.78,3,51,0,0.3549379291,0.8786760534,1,0.72155,,,,data/traditional_m2t_output/10_13.df-po-extended.txt
10_13,llama3.1:8b,Traditional,0,6.773333333,76.78,3,51,0,0.3549379291,0.878388765,1,0.72135,,,,data/traditional_m2t_output/10_13.df-po-extended.txt
10_6,gpt-4o-mini,Traditional,0,6.315824176,76.24346154,7,99,0,0.3578426898,0.8439400944,1,0.69811,,,,data/traditional_m2t_output/10_6.df-po-extended.txt
10_6,llama3.1:8b,Traditional,0,6.315824176,76.24346154,7,99,0,0.3578426898,0.8439400944,1,0.69811,,,,data/traditional_m2t_output/10_6.df-po-extended.txt
3_3,gpt-4o-mini,Traditional,0,7.02882161,69.73219543,14,190,0,0.3623442239,0.811764199,1,0.67694,,,,data/traditional_m2t_output/3_3.df-po-extended.txt
3_3,llama3.1:8b,Traditional,0,7.02882161,69.73219543,14,190,0,0.3623442239,0.8117457125,1,0.67693,,,,data/traditional_m2t_output/3_3.df-po-extended.txt
3_3,llama3.1:8b,Traditional,0,7.02882161,69.73219543,14,190,0,0.3623442239,0.8118430906,1,0.67699,,,,data/traditional_m2t_output/3_3.df-po-extended.txt
5_2,gpt-4o-mini,Traditional,0,7.493771676,67.01364403,12,166,0,0.1841907359,0.8432022242,1,0.6455,,,,data/traditional_m2t_output/5_2.df-po-extended.txt
5_2,llama3.1:8b,Traditional,0,7.493771676,67.01364403,12,166,0,0.1841907359,0.8425350093,1,0.64503,,,,data/traditional_m2t_output/5_2.df-po-extended.txt
Baking,gpt-4o-mini,Traditional,0,6.10011789,76.1973406,27,355,0,0.2224911164,0.8149503099,1,0.63721,,,,data/traditional_m2t_output/Baking.df-po-extended.txt
Baking,llama3.1:8b,Traditional,0,6.10011789,76.1973406,27,355,0,0.2224911164,0.8150521172,1,0.63728,,,,data/traditional_m2t_output/Baking.df-po-extended.txt
Cement 1,gpt-4o-mini,Traditional,0,5.632,82.08561538,13,195,0,0.2043599455,0.8262154256,1,0.63966,,,,data/traditional_m2t_output/Cement 1.df-po-extended.txt
Cement 1,llama3.1:8b,Traditional,0,5.632,82.08561538,13,195,0,0.2043599455,0.8263161774,1,0.63973,,,,data/traditional_m2t_output/Cement 1.df-po-extended.txt
Cement 2,gpt-4o-mini,Traditional,0,6.612608696,75.06706338,23,335,0,0.2331475559,0.8105030482,1,0.6373,,,,data/traditional_m2t_output/Cement 2.df-po-extended.txt
Cement 2,llama3.1:8b,Traditional,0,6.612608696,75.06706338,23,335,0,0.2331475559,0.8105030482,1,0.6373,,,,data/traditional_m2t_output/Cement 2.df-po-extended.txt
Cement 3,gpt-4o-mini,Traditional,0,6.817665541,73.14562642,29,414,0,0.2627624155,0.8178269436,1,0.65131,,,,data/traditional_m2t_output/Cement 3.df-po-extended.txt
Cement 3,llama3.1:8b,Traditional,0,6.817665541,73.14562642,29,414,0,0.2627624155,0.8178180276,1,0.6513,,,,data/traditional_m2t_output/Cement 3.df-po-extended.txt
Chess,gpt-4o-mini,Traditional,0,6.571071429,73.71375,56,757,0,0.1555123533,0.8117742105,1,0.6149,,,,data/traditional_m2t_output/Chess.df-po-extended.txt
Chess,llama3.1:8b,Traditional,0,6.571071429,73.71375,56,757,0,0.1555123533,0.8118312525,1,0.61494,,,,data/traditional_m2t_output/Chess.df-po-extended.txt
Chickpeas,gpt-4o-mini,Traditional,0,4.3625,90.05697034,4,59,0,0.2094323884,0.8147574229,1,0.63316,,,,data/traditional_m2t_output/Chickpeas.df-po-extended.txt
Chickpeas,llama3.1:8b,Traditional,0,4.3625,90.05697034,4,59,0,0.2094323884,0.8147574229,1,0.63316,,,,data/traditional_m2t_output/Chickpeas.df-po-extended.txt
Diamonds,gpt-4o-mini,Traditional,0,6.139441601,77.08396308,21,292,0,0.23379628,0.803227665,1,0.6324,,,,data/traditional_m2t_output/Diamonds.df-po-extended.txt
Diamonds,llama3.1:8b,Traditional,0,6.139441601,77.08396308,21,292,0,0.23379628,0.8031241661,1,0.63233,,,,data/traditional_m2t_output/Diamonds.df-po-extended.txt
Experiment Design,gpt-4o-mini,Traditional,0,7.649017254,67.39922731,29,437,0,0.3417389125,0.8929319247,1,0.72757,,,,data/traditional_m2t_output/Experiment Design.df-po-extended.txt
Experiment Design,llama3.1:8b,Traditional,0,7.649017254,67.39922731,29,437,0,0.3417389125,0.8929986079,1,0.72762,,,,data/traditional_m2t_output/Experiment Design.df-po-extended.txt
Ice Cream,gpt-4o-mini,Traditional,0,5.880872139,75.92686464,14,175,0,0.1906969358,0.7883992009,1,0.60909,,,,data/traditional_m2t_output/Ice Cream.df-po-extended.txt
Ice Cream,llama3.1:8b,Traditional,0,5.880872139,75.92686464,14,175,0,0.1906969358,0.788359812,1,0.60906,,,,data/traditional_m2t_output/Ice Cream.df-po-extended.txt
Log Inspection 1,gpt-4o-mini,Traditional,0,5.972195122,76.58674797,15,193,0,0.265834305,0.8622612211,1,0.68333,,,,data/traditional_m2t_output/Log Inspection 1.df-po-extended.txt
Log Inspection 1,llama3.1:8b,Traditional,0,5.972195122,76.58674797,15,193,0,0.265834305,0.8622612211,1,0.68333,,,,data/traditional_m2t_output/Log Inspection 1.df-po-extended.txt
Log Inspection 2,gpt-4o-mini,Traditional,0,6.169515152,75.11809091,22,277,0,0.3110051597,0.8744932983,1,0.70545,,,,data/traditional_m2t_output/Log Inspection 2.df-po-extended.txt
Log Inspection 2,llama3.1:8b,Traditional,0,6.169515152,75.11809091,22,277,0,0.3110051597,0.8744932983,1,0.70545,,,,data/traditional_m2t_output/Log Inspection 2.df-po-extended.txt
Ordering Kiosk 1,gpt-4o-mini,Traditional,0,6.162410114,76.05958126,44,586,0,0.1945802266,0.8216479673,1,0.63353,,,,data/traditional_m2t_output/Ordering Kiosk 1.df-po-extended.txt
Ordering Kiosk 1,llama3.1:8b,Traditional,0,6.162410114,76.05958126,44,586,0,0.1945802266,0.8216479673,1,0.63353,,,,data/traditional_m2t_output/Ordering Kiosk 1.df-po-extended.txt
Ordering Kiosk 2,gpt-4o-mini,Traditional,0,6.396777494,75.09149233,69,942,0,0.2188039254,0.8306935916,1,0.64713,,,,data/traditional_m2t_output/Ordering Kiosk 2.df-po-extended.txt
Ordering Kiosk 2,llama3.1:8b,Traditional,0,6.396777494,75.09149233,69,942,0,0.2188039254,0.8306735933,1,0.64711,,,,data/traditional_m2t_output/Ordering Kiosk 2.df-po-extended.txt
Preflop,gpt-4o-mini,Traditional,0,5.825657873,78.37074035,51,662,0,0.1961095865,0.8336878005,1,0.64241,,,,data/traditional_m2t_output/Preflop.df-po-extended.txt
Preflop,llama3.1:8b,Traditional,0,5.825657873,78.37074035,51,662,0,0.1961095865,0.8336878005,1,0.64241,,,,data/traditional_m2t_output/Preflop.df-po-extended.txt
Proofread,gpt-4o-mini,Traditional,0,6.291025641,75.68619658,18,252,0,0.2694924522,0.8736641401,1,0.69241,,,,data/traditional_m2t_output/Proofread.df-po-extended.txt
Proofread,llama3.1:8b,Traditional,0,6.291025641,75.68619658,18,252,0,0.2694924522,0.8736641401,1,0.69241,,,,data/traditional_m2t_output/Proofread.df-po-extended.txt
Repair Ticket,gpt-4o-mini,Traditional,0,7.074214876,70.46692837,34,463,0,0.3374843257,0.8770263247,1,0.71516,,,,data/traditional_m2t_output/Repair Ticket.df-po-extended.txt
Repair Ticket,llama3.1:8b,Traditional,0,7.074214876,70.46692837,34,463,0,0.3374843257,0.8769477736,1,0.71511,,,,data/traditional_m2t_output/Repair Ticket.df-po-extended.txt
Restaurant,gpt-4o-mini,Traditional,0,7.542332016,68.2465415,23,338,0,0.2859303203,0.832611081,1,0.66861,,,,data/traditional_m2t_output/Restaurant.df-po-extended.txt
Restaurant,llama3.1:8b,Traditional,0,7.542332016,68.2465415,23,338,0,0.2859303203,0.832611081,1,0.66861,,,,data/traditional_m2t_output/Restaurant.df-po-extended.txt
Test,gpt-4o-mini,Traditional,0,6.554857143,77.99014286,5,79,0,0.3120792349,0.8330478315,1,0.67676,,,,data/traditional_m2t_output/Test.df-po-extended.txt
Test,llama3.1:8b,Traditional,0,6.554857143,77.99014286,5,79,0,0.3120792349,0.8328417244,1,0.67661,,,,data/traditional_m2t_output/Test.df-po-extended.txt
